name,frameTime,F0semitoneFrom27_5Hz_sma3nz_amean,F0semitoneFrom27_5Hz_sma3nz_stddevNorm,F0semitoneFrom27_5Hz_sma3nz_percentile20_0,F0semitoneFrom27_5Hz_sma3nz_percentile50_0,F0semitoneFrom27_5Hz_sma3nz_percentile80_0,F0semitoneFrom27_5Hz_sma3nz_pctlrange0_2,F0semitoneFrom27_5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27_5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27_5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27_5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20_0,loudness_sma3_percentile50_0,loudness_sma3_percentile80_0,loudness_sma3_pctlrange0_2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0_H1_H2_sma3nz_amean,logRelF0_H1_H2_sma3nz_stddevNorm,logRelF0_H1_A3_sma3nz_amean,logRelF0_H1_A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0_500_sma3nz_amean,slopeV0_500_sma3nz_stddevNorm,slopeV500_1500_sma3nz_amean,slopeV500_1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0_500_sma3nz_amean,slopeUV500_1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
'unknown',0,36.53226,0.02982045,35.36808,36.67781,37.23759,1.869514,73.31457,64.57689,8.136656,11.02611,1.482794,0.5544845,0.7618112,1.316751,2.37789,1.616079,21.30906,9.826154,14.99326,3.435916,0.8814844,0.7659695,23.20275,0.4591676,-4.193557,-3.047916,-3.199344,-5.616893,-10.01079,-0.7666155,0.0233833,1.096907,1.025035,0.7270068,8.887764,0.3011907,12.90031,0.6806552,26.75537,0.2826805,662.5179,0.3212952,1422.649,0.1421072,-56.99979,-1.48703,1554.549,0.07815977,1127.156,0.1457643,-59.9274,-1.339316,2540.531,0.05427004,1007.732,0.2554279,-67.84394,-1.106851,-8.815392,-0.9367386,22.80787,0.3674791,0.08111089,0.1880826,-0.01421649,-0.8787876,1.084141,0.622889,24.7498,0.4192787,-6.54742,-1.989741,-5.551981,-3.156531,-8.275049,-0.8891547,-8.106316,20.08735,0.05190234,-0.01249681,0.4867772,5.785124,3.448276,0.2025,0.09984362,0.0675,0.03561952,-14.32333
'unknown',0,42.54424,0.05187704,40.66768,41.46033,45.24828,4.580601,4.568727,6.487259,18.08223,2.929108,1.157198,0.4755343,0.6230249,1.067438,1.632112,1.009087,5.42986,1.219956,6.942098,2.787211,0.5130677,0.9163154,13.95013,0.6786624,1.094533,6.919178,5.127861,1.864316,-17.09163,-0.6698332,0.01471734,1.297853,0.8226111,0.9637778,12.04409,0.3077904,9.897822,0.6805154,20.03575,0.4143851,864.8042,0.1065793,1319.409,0.1105766,-122.4701,-0.7269655,1804.857,0.08852645,1079.663,0.1894069,-124.9235,-0.6807039,2689.128,0.05817393,1117.248,0.3067948,-128.1853,-0.6335592,-12.93488,-0.3713186,21.31352,0.2944918,0.03853015,0.5154304,-0.01473833,-0.5525814,0.6242737,0.498256,18.99131,0.3649612,-0.1046916,-78.5164,5.560112,2.356165,-26.7644,-0.3356016,-5.405909,12.55575,0.005750644,-0.01218279,0.4444911,2.702703,1.843318,0.2225,0.07980445,0.238,0.08182909,-16.22754
'unknown',0,37.80241,0.04479178,36.36748,37.63972,39.06661,2.699127,92.40765,57.50497,7.0548,14.43129,0.9235566,0.5573541,0.5555518,0.8491401,1.256562,0.7010103,11.56048,5.730337,11.00591,5.800286,0.5194163,1.026796,19.77531,0.8187065,-5.765186,-2.25774,-2.251764,-7.27639,-19.71256,-0.5910856,0.01919215,0.9762599,1.1535,0.8539176,9.797999,0.3702769,13.76608,0.8435508,25.21161,0.2416419,662.9807,0.2857395,1496.019,0.1492366,-86.87735,-1.04692,1573.491,0.1019426,1214.399,0.3403243,-81.44536,-1.022249,2500.81,0.07840236,1079.357,0.304658,-85.89785,-0.929996,-11.09046,-0.5259363,21.65102,0.3476183,0.07468352,0.3998291,-0.01971551,-0.5849985,0.5846599,0.8145121,25.91978,0.4880252,-9.647155,-1.238187,-3.788868,-4.921571,-22.26546,-0.5539617,-5.162523,12.61635,0.02706278,-0.008897673,0.4514054,4.945055,3.954802,0.1514286,0.07935968,0.07,0.04609772,-18.1214
'unknown',0,37.65573,0.09016461,36.02079,36.73374,40.71643,4.695641,158.8832,136.8434,66.78423,48.86473,1.356953,0.3598194,0.9964297,1.265316,1.728906,0.7324758,13.05845,5.117689,5.197234,3.236856,0.8423581,0.7352685,20.81189,0.3383645,-2.275566,-5.91783,6.004731,1.88948,-29.51306,-0.238513,0.03183699,0.9649193,1.233135,0.5772998,7.352993,0.5993621,15.12551,0.5277272,26.15898,0.263629,736.2471,0.1202979,1396.615,0.1078248,-63.13037,-1.262769,1746.637,0.05173613,1083.051,0.155936,-69.48651,-1.055695,2609.136,0.04555101,1043.154,0.2801984,-70.58409,-1.027792,-14.98491,-0.3637995,22.47418,0.3581448,0.07499584,0.1622191,-0.03739107,-0.2001852,0.9562514,0.7065752,22.03052,0.3011982,-0.2772049,-51.74745,6.758457,1.848621,-31.62307,-0.2002854,-8.020926,13.24977,0.06429933,-0.02935933,0.6602226,4.950495,4.166667,0.165,0.09069178,0.055,0.015,-15.0868
'unknown',0,40.51436,0.07401086,38.09922,39.21432,43.89166,5.792446,48.29597,0,27.55165,0,1.600708,0.7096037,0.7894601,1.221602,2.152586,1.363126,35.22264,22.35024,15.57639,15.49597,1.42629,0.8233872,27.85525,0.2905676,-7.011138,-0.7233364,-14.05729,-0.9562731,-35.17879,-0.3774492,0.1112762,1.307951,1.361995,0.8305005,5.808579,0.6559982,6.518137,1.542651,24.41769,0.2383366,799.7173,0.1560052,1390.612,0.09276623,-20.19579,-1.843921,1667.544,0.0702834,1180.06,0.2700202,-30.8685,-1.034238,2654.617,0.06888057,1215.201,0.5896553,-39.25926,-0.786004,-11.71347,-0.4059694,26.16084,0.1651772,0.06104935,0.4245431,-0.03010719,-0.2514643,1.57183,0.8063595,27.066,0.3290384,-6.924764,-0.7947496,-14.47022,-1.000739,-32.86617,-0.4012139,-10.94613,24.76773,0.0851623,-0.02895951,0.3658878,5.263158,6.25,0.14,0.01,0,0,-12.51213
'unknown',0,34.65057,0.1039469,31.64621,33.08885,39.16281,7.5166,108.296,122.2959,75.80093,99.95673,1.13887,0.5403223,0.5703924,1.031614,1.634333,1.063941,11.59654,5.4214,10.00606,3.207149,0.6780419,0.8982133,19.46008,0.6953692,-0.8019766,-9.772287,12.15775,0.9278104,-23.69575,-0.5030951,0.03519918,1.710347,0.9999031,0.7540943,7.388217,0.5061603,6.52335,1.936152,23.71255,0.3291719,677.793,0.157738,1340.264,0.1455226,-65.87915,-1.284374,1718.493,0.0906467,998.5924,0.2308132,-74.43169,-1.050872,2564.445,0.06795399,1002.324,0.2410127,-74.32384,-1.056339,-15.16946,-0.3961388,20.71816,0.3571983,0.06476941,0.2221028,-0.03646395,-0.3836711,0.8483219,0.761836,25.4171,0.3030885,0.7621766,9.286758,16.97102,0.531306,-27.6843,-0.3702953,-1.986331,8.294167,0.04167429,-0.01203623,0.3595849,4.790419,3.10559,0.216,0.1721162,0.086,0.02939388,-15.15428
'unknown',0,39.89377,0.03240296,39.24903,39.638,40.80766,1.558636,30.29548,18.81726,16.06639,26.53422,1.467207,0.3046919,1.049509,1.448117,1.828151,0.7786421,12.79247,5.610793,6.953928,5.376878,1.050364,0.5545986,27.33385,0.2340364,4.449126,1.974698,-0.5221432,-33.93885,-30.07125,-0.3708668,0.0197911,0.800542,1.129879,0.6194577,9.089768,0.4795935,18.6748,0.4249329,30.73039,0.1718265,701.3372,0.1840799,1418.157,0.147115,-44.71794,-1.378777,1717.963,0.1400011,1183.392,0.2547372,-48.03103,-1.022745,2645.854,0.080832,996.9491,0.2052335,-51.87818,-0.9322757,-19.23998,-0.3750546,29.61846,0.2130302,0.04379799,0.3450918,-0.04049982,-0.2246077,1.014483,0.5745797,27.7724,0.2383556,5.695167,1.530601,2.35747,7.290851,-30.19609,-0.3925342,-8.74238,25.43484,0.04187697,-0.03399653,1.365276,5.555556,4.132232,0.202,0.1931217,0.03333333,0.01247219,-12.93943
'unknown',0,38.62043,0.07343164,37.04843,37.43546,39.6064,2.557972,31.27748,28.49959,26.81479,12.62258,1.456232,0.4894228,0.8026237,1.438223,2.167058,1.364434,19.25447,8.761066,15.70781,10.23605,0.8054172,0.7968528,25.42748,0.3448189,-6.011424,-1.990533,-1.2335,-10.13064,-18.95287,-0.7128493,0.0171094,1.633167,0.982924,1.085488,10.52883,0.3185556,17.76491,0.7009499,26.38329,0.2473479,682.6827,0.2593105,1504.251,0.1383531,-52.39503,-1.554982,1604.191,0.111083,1190.179,0.2427594,-52.46832,-1.345875,2547.411,0.0787586,1110.855,0.3020702,-59.02684,-1.142141,-12.87555,-0.4592971,25.21758,0.2820519,0.06587352,0.3679084,-0.02278461,-0.6389295,0.9673079,0.655795,28.48421,0.2249511,-7.725405,-1.621249,-0.2006706,-67.87998,-22.3821,-0.5879138,-7.734148,17.39587,0.04092003,-0.01353279,0.2661304,4.191617,1.851852,0.4233333,0.2293953,0.07,0.03535534,-13.24544
'unknown',0,40.06398,0.08283629,38.56444,39.7507,41.36097,2.796528,36.48695,17.73791,34.44203,15.21462,0.9675746,0.6831568,0.3246131,0.7800534,1.712082,1.387468,12.95586,6.567007,8.48024,4.373199,0.6302035,0.924197,23.36026,0.3819492,-5.557879,-1.534424,1.919703,5.307027,-30.78723,-0.558565,0.02788382,1.086376,1.303701,0.705874,9.994442,0.3389866,17.78596,0.5943893,28.36464,0.3039514,645.7431,0.2443336,1447.872,0.1253382,-70.29756,-1.239216,1638.04,0.1178512,1239.071,0.2649268,-65.62499,-1.119978,2511.509,0.07912069,1097.471,0.3322503,-68.18586,-1.059334,-16.71257,-0.4200506,25.17229,0.3294457,0.0678294,0.2776243,-0.03634249,-0.3648438,0.8003278,0.7233428,24.92434,0.3367298,-5.251697,-1.791853,3.525592,2.979028,-36.16949,-0.4462797,-8.520151,18.64305,0.04635837,-0.01754607,0.1819366,3.937008,2.811245,0.2557143,0.1179415,0.07714286,0.1044324,-14.23709
'unknown',0,33.82259,0.03781667,32.40003,34.17057,34.9375,2.537468,46.52549,17.13424,2.844087,10.51204,0.6090522,0.7275224,0.2197516,0.4834276,0.8741851,0.6544336,5.458649,2.130434,9.228948,8.716934,0.4018537,1.278146,30.17508,0.2809391,7.954371,0.988785,12.40931,1.003726,-10.95173,-0.9756029,0.02180689,0.8763923,1.491956,0.9378021,8.662539,0.3430931,6.469348,1.239525,31.97387,0.1339889,612.1553,0.2120848,1391.827,0.1462152,-46.46912,-1.530082,1653.895,0.1012087,1058.236,0.2166198,-60.29155,-1.062652,2575.483,0.08386341,940.5956,0.1975602,-64.01395,-0.9737282,-21.31061,-0.2243775,27.30013,0.2311609,0.0648168,0.2956348,-0.03108807,-0.4796629,0.5130639,1.075944,32.73878,0.2354788,10.83686,0.5039541,15.86252,0.7467186,-10.64738,-1.04824,-10.75256,17.82654,0.0219277,-0.005680486,0.07477609,3.658537,3.896104,0.1933333,0.1977091,0.03666667,0.02357022,-17.54576
'unknown',0,39.55377,0.02615543,38.71835,39.42724,39.6186,0.9002533,34.95546,0,12.89277,0,1.909547,0.204905,1.607626,1.816783,2.34365,0.7360238,11.74417,6.199047,8.936347,5.653429,1.717475,0.335713,32.31786,0.1573517,-12.93769,-0.6901066,-4.445632,-1.156127,-23.52876,-0.2606388,0.02803337,0.5349939,1.743092,0.7642022,5.422273,0.3385569,11.16131,0.9135872,26.39274,0.3599904,678.6209,0.1951464,1479.96,0.1234351,-98.68079,-0.85223,1526.043,0.08990516,1257.158,0.1586582,-82.9209,-0.9571428,2447.435,0.08115556,1099.075,0.2661028,-89.58638,-0.837937,-8.551422,-0.7841429,24.55085,0.3714269,0.04951681,0.2311807,-0.02867129,-0.5756388,1.767947,0.2363361,31.98591,0.2021794,-14.26006,-0.7690719,-4.93243,-0.9865128,-25.72224,-0.1548784,-8.574945,24.48038,0.03296574,-0.02208995,1.523579,11.11111,6.451613,0.09,0.01,0.045,0.025,-12.77387
